province_abbreviation,province_specialFormatName
AN,ANDAMAN AND NICOBAR ISLANDS
AP,ANDHRA PRADESH
AR,ARUNACHAL PRADESH
AS,ASSAM
BR,BIHAR
CH,CHANDIGARH
CT,CHHATTISGARH
DN,DADRA AND NAGAR HAVELI
DD,DAMAN AND DIU
DL,DELHI
GA,GOA
GJ,GUJARAT
HR,HARYANA
HP,HIMACHAL PRADESH
JK,JAMMU AND KASHMIR
JH,JHARKHAND
KA,KARNATAKA
KL,KERALA
LD,LAKSHADWEEP
MP,MADHYA PRADESH
MH,MAHARASHTRA
MN,MANIPUR
ML,MEGHALAYA
MZ,MIZORAM
NL,NAGALAND
DL,NATIONAL CAPITAL TERRITORY OF DELHI
OR,ORISSA
PY,PUDUCHERRY
PB,PUNJAB
RJ,RAJASTHAN
SK,SIKKIM
TN,TAMIL NADU
TS,TELANGANA
TR,TRIPURA
UT,UNION TERRITORIES
UP,UTTAR PRADESH
UL,UTTARAKHAND
WB,WEST BENGAL
